저장소,릴리즈 ID,릴리즈 태그,릴리즈 이름,릴리즈 노트,릴리즈 페이지 URL,초안 여부,프리릴리즈 여부,생성일시,발행일시,작성자 이름,작성자 프로필 URL,대상 브랜치,다운로드 수,에셋 수
daangn/seed-design,222071561,@seed-design/react-checkbox@0.0.4,@seed-design/react-checkbox@0.0.4,"### Patch Changes

-   Updated dependencies [29ec9f0]
    -   @seed-design/react-primitive@0.0.3
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/react-checkbox%400.0.4,false,false,2025-05-30T12:57:26Z,2025-05-30T12:57:33Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,222071536,@seed-design/react-avatar@0.0.4,@seed-design/react-avatar@0.0.4,"### Patch Changes

-   Updated dependencies [29ec9f0]
    -   @seed-design/react-primitive@0.0.3
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/react-avatar%400.0.4,false,false,2025-05-30T12:57:26Z,2025-05-30T12:57:28Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,222071620,@seed-design/mcp@0.0.29,@seed-design/mcp@0.0.29,"### Patch Changes

-   @seed-design/figma@0.0.29
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/mcp%400.0.29,false,false,2025-05-30T12:57:26Z,2025-05-30T12:57:54Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,222071657,@seed-design/figma@0.0.29,@seed-design/figma@0.0.29,"### Patch Changes

-   Updated dependencies [116ee2c]
    -   @seed-design/css@0.0.29
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/figma%400.0.29,false,false,2025-05-30T12:57:26Z,2025-05-30T12:58:00Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,222071550,@seed-design/css@0.0.29,@seed-design/css@0.0.29,"### Patch Changes

-   116ee2c: ActionButton의 min-width variable 기본값을 수정합니다.
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/css%400.0.29,false,false,2025-05-30T12:57:26Z,2025-05-30T12:57:30Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221797888,@seed-design/webpack-plugin@0.0.28,@seed-design/webpack-plugin@0.0.28,"### Patch Changes

-   Updated dependencies [5337e14]
    -   @seed-design/css@0.0.28
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/webpack-plugin%400.0.28,false,false,2025-05-29T10:43:11Z,2025-05-29T10:43:30Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221722515,@seed-design/webpack-plugin@0.0.27,@seed-design/webpack-plugin@0.0.27,"### Patch Changes

-   Updated dependencies [9d85c16]
-   Updated dependencies [d951317]
-   Updated dependencies [b3f964d]
    -   @seed-design/css@0.0.27
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/webpack-plugin%400.0.27,false,false,2025-05-29T04:11:34Z,2025-05-29T04:12:14Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221797868,@seed-design/vite-plugin@0.0.28,@seed-design/vite-plugin@0.0.28,"### Patch Changes

-   Updated dependencies [5337e14]
    -   @seed-design/css@0.0.28
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/vite-plugin%400.0.28,false,false,2025-05-29T10:43:11Z,2025-05-29T10:43:24Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221722510,@seed-design/vite-plugin@0.0.27,@seed-design/vite-plugin@0.0.27,"### Patch Changes

-   Updated dependencies [9d85c16]
-   Updated dependencies [d951317]
-   Updated dependencies [b3f964d]
    -   @seed-design/css@0.0.27
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/vite-plugin%400.0.27,false,false,2025-05-29T04:11:34Z,2025-05-29T04:12:08Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221797879,@seed-design/stackflow@0.0.28,@seed-design/stackflow@0.0.28,"### Patch Changes

-   Updated dependencies [5337e14]
    -   @seed-design/css@0.0.28
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/stackflow%400.0.28,false,false,2025-05-29T10:43:11Z,2025-05-29T10:43:27Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221722557,@seed-design/stackflow@0.0.27,@seed-design/stackflow@0.0.27,"### Patch Changes

-   7851a31: RSC 지원을 위한 ""use client"" directive를 추가합니다.
-   Updated dependencies [9d85c16]
-   Updated dependencies [d951317]
-   Updated dependencies [b3f964d]
    -   @seed-design/css@0.0.27
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/stackflow%400.0.27,false,false,2025-05-29T04:11:34Z,2025-05-29T04:12:41Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221797900,@seed-design/rsbuild-plugin@0.0.28,@seed-design/rsbuild-plugin@0.0.28,"### Patch Changes

-   Updated dependencies [5337e14]
    -   @seed-design/css@0.0.28
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/rsbuild-plugin%400.0.28,false,false,2025-05-29T10:43:11Z,2025-05-29T10:43:33Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221722529,@seed-design/rsbuild-plugin@0.0.27,@seed-design/rsbuild-plugin@0.0.27,"### Patch Changes

-   Updated dependencies [9d85c16]
-   Updated dependencies [d951317]
-   Updated dependencies [b3f964d]
    -   @seed-design/css@0.0.27
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/rsbuild-plugin%400.0.27,false,false,2025-05-29T04:11:34Z,2025-05-29T04:12:23Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221797857,@seed-design/react@0.0.28,@seed-design/react@0.0.28,"### Patch Changes

-   Updated dependencies [5337e14]
    -   @seed-design/css@0.0.28
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/react%400.0.28,false,false,2025-05-29T10:43:11Z,2025-05-29T10:43:21Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221722539,@seed-design/react@0.0.27,@seed-design/react@0.0.27,"### Patch Changes

-   7851a31: RSC 지원을 위한 ""use client"" directive를 추가합니다.
-   Updated dependencies [9d85c16]
-   Updated dependencies [d951317]
-   Updated dependencies [7851a31]
-   Updated dependencies [b3f964d]
    -   @seed-design/css@0.0.27
    -   @seed-design/react-segmented-control@0.0.4
    -   @seed-design/react-pull-to-refresh@0.0.4
    -   @seed-design/react-radio-group@0.0.3
    -   @seed-design/react-text-field@0.0.3
    -   @seed-design/react-checkbox@0.0.3
    -   @seed-design/react-progress@0.0.3
    -   @seed-design/react-snackbar@0.0.4
    -   @seed-design/react-popover@0.0.6
    -   @seed-design/react-avatar@0.0.3
    -   @seed-design/react-dialog@0.0.4
    -   @seed-design/react-portal@0.0.2
    -   @seed-design/react-switch@0.0.3
    -   @seed-design/react-toggle@0.0.3
    -   @seed-design/react-tabs@0.0.5
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/react%400.0.27,false,false,2025-05-29T04:11:34Z,2025-05-29T04:12:29Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221722475,@seed-design/react-toggle@0.0.3,@seed-design/react-toggle@0.0.3,"### Patch Changes

-   7851a31: RSC 지원을 위한 ""use client"" directive를 추가합니다.
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/react-toggle%400.0.3,false,false,2025-05-29T04:11:34Z,2025-05-29T04:11:53Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221722535,@seed-design/react-text-field@0.0.3,@seed-design/react-text-field@0.0.3,"### Patch Changes

-   7851a31: RSC 지원을 위한 ""use client"" directive를 추가합니다.
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/react-text-field%400.0.3,false,false,2025-05-29T04:11:34Z,2025-05-29T04:12:26Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221722546,@seed-design/react-tabs@0.0.5,@seed-design/react-tabs@0.0.5,"### Patch Changes

-   7851a31: RSC 지원을 위한 ""use client"" directive를 추가합니다.
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/react-tabs%400.0.5,false,false,2025-05-29T04:11:34Z,2025-05-29T04:12:35Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221722512,@seed-design/react-switch@0.0.3,@seed-design/react-switch@0.0.3,"### Patch Changes

-   7851a31: RSC 지원을 위한 ""use client"" directive를 추가합니다.
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/react-switch%400.0.3,false,false,2025-05-29T04:11:34Z,2025-05-29T04:12:11Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221722543,@seed-design/react-snackbar@0.0.4,@seed-design/react-snackbar@0.0.4,"### Patch Changes

-   7851a31: RSC 지원을 위한 ""use client"" directive를 추가합니다.
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/react-snackbar%400.0.4,false,false,2025-05-29T04:11:34Z,2025-05-29T04:12:32Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221722552,@seed-design/react-segmented-control@0.0.4,@seed-design/react-segmented-control@0.0.4,"### Patch Changes

-   7851a31: RSC 지원을 위한 ""use client"" directive를 추가합니다.
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/react-segmented-control%400.0.4,false,false,2025-05-29T04:11:34Z,2025-05-29T04:12:38Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221722430,@seed-design/react-radio-group@0.0.3,@seed-design/react-radio-group@0.0.3,"### Patch Changes

-   7851a31: RSC 지원을 위한 ""use client"" directive를 추가합니다.
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/react-radio-group%400.0.3,false,false,2025-05-29T04:11:34Z,2025-05-29T04:11:38Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221722527,@seed-design/react-pull-to-refresh@0.0.4,@seed-design/react-pull-to-refresh@0.0.4,"### Patch Changes

-   7851a31: RSC 지원을 위한 ""use client"" directive를 추가합니다.
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/react-pull-to-refresh%400.0.4,false,false,2025-05-29T04:11:34Z,2025-05-29T04:12:20Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221722505,@seed-design/react-progress@0.0.3,@seed-design/react-progress@0.0.3,"### Patch Changes

-   7851a31: RSC 지원을 위한 ""use client"" directive를 추가합니다.
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/react-progress%400.0.3,false,false,2025-05-29T04:11:34Z,2025-05-29T04:12:05Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221722442,@seed-design/react-portal@0.0.2,@seed-design/react-portal@0.0.2,"### Patch Changes

-   7851a31: RSC 지원을 위한 ""use client"" directive를 추가합니다.
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/react-portal%400.0.2,false,false,2025-05-29T04:11:34Z,2025-05-29T04:11:41Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221722501,@seed-design/react-popover@0.0.6,@seed-design/react-popover@0.0.6,"### Patch Changes

-   7851a31: RSC 지원을 위한 ""use client"" directive를 추가합니다.
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/react-popover%400.0.6,false,false,2025-05-29T04:11:34Z,2025-05-29T04:12:02Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221722485,@seed-design/react-dialog@0.0.4,@seed-design/react-dialog@0.0.4,"### Patch Changes

-   7851a31: RSC 지원을 위한 ""use client"" directive를 추가합니다.
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/react-dialog%400.0.4,false,false,2025-05-29T04:11:34Z,2025-05-29T04:11:56Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221722458,@seed-design/react-checkbox@0.0.3,@seed-design/react-checkbox@0.0.3,"### Patch Changes

-   7851a31: RSC 지원을 위한 ""use client"" directive를 추가합니다.
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/react-checkbox%400.0.3,false,false,2025-05-29T04:11:34Z,2025-05-29T04:11:47Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221722466,@seed-design/react-avatar@0.0.3,@seed-design/react-avatar@0.0.3,"### Patch Changes

-   7851a31: RSC 지원을 위한 ""use client"" directive를 추가합니다.
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/react-avatar%400.0.3,false,false,2025-05-29T04:11:34Z,2025-05-29T04:11:50Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221797839,@seed-design/mcp@0.0.28,@seed-design/mcp@0.0.28,"### Patch Changes

-   Updated dependencies [b3da758]
    -   @seed-design/figma@0.0.28
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/mcp%400.0.28,false,false,2025-05-29T10:43:11Z,2025-05-29T10:43:15Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221722450,@seed-design/mcp@0.0.27,@seed-design/mcp@0.0.27,"### Patch Changes

-   Updated dependencies [4133c5e]
    -   @seed-design/figma@0.0.27
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/mcp%400.0.27,false,false,2025-05-29T04:11:34Z,2025-05-29T04:11:44Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221797824,@seed-design/figma@0.0.28,@seed-design/figma@0.0.28,"### Patch Changes

-   b3da758: Figma XML 타겟에서 instance 노드의 컴포넌트 정보를 제공합니다.
-   Updated dependencies [5337e14]
    -   @seed-design/css@0.0.28
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/figma%400.0.28,false,false,2025-05-29T10:43:11Z,2025-05-29T10:43:12Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221722419,@seed-design/figma@0.0.27,@seed-design/figma@0.0.27,"### Patch Changes

-   4133c5e: 레이아웃 컴포넌트의 codegen이 default value를 정상적으로 제외하도록 수정합니다.
-   Updated dependencies [9d85c16]
-   Updated dependencies [d951317]
-   Updated dependencies [b3f964d]
    -   @seed-design/css@0.0.27
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/figma%400.0.27,false,false,2025-05-29T04:11:34Z,2025-05-29T04:11:35Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221797849,@seed-design/css@0.0.28,@seed-design/css@0.0.28,"### Patch Changes

-   5337e14: Callout의 wrapping 동작을 수정합니다.
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/css%400.0.28,false,false,2025-05-29T10:43:11Z,2025-05-29T10:43:18Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221722496,@seed-design/css@0.0.27,@seed-design/css@0.0.27,"### Patch Changes

-   9d85c16: InlineBanner의 title 영역에 flex-shrink: 0을 추가해요
-   d951317: Color 토큰을 업데이트합니다.
-   b3f964d: Avatar의 디자인 업데이트를 반영합니다. (stroke 추가)
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/css%400.0.27,false,false,2025-05-29T04:11:34Z,2025-05-29T04:11:59Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,221722520,@seed-design/codemod@0.0.25,@seed-design/codemod@0.0.25,"### Patch Changes

-   3d7b0dc: replace-tailwind-color cva 처리 추가 및 `-seed` prefix 토큰 확인 로직 추가
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/codemod%400.0.25,false,false,2025-05-29T04:11:34Z,2025-05-29T04:12:17Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,219997061,@seed-design/webpack-plugin@0.0.26,@seed-design/webpack-plugin@0.0.26,"### Patch Changes

-   c8b2921: types 필드와 exports 필드를 수정해요
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/webpack-plugin%400.0.26,false,false,2025-05-21T08:31:31Z,2025-05-21T08:31:41Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,219997041,@seed-design/vite-plugin@0.0.26,@seed-design/vite-plugin@0.0.26,"### Patch Changes

-   c8b2921: types 필드와 exports 필드를 수정해요
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/vite-plugin%400.0.26,false,false,2025-05-21T08:31:31Z,2025-05-21T08:31:35Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,219997029,@seed-design/rsbuild-plugin@0.0.26,@seed-design/rsbuild-plugin@0.0.26,"### Patch Changes

-   c8b2921: types 필드와 exports 필드를 수정해요
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/rsbuild-plugin%400.0.26,false,false,2025-05-21T08:31:31Z,2025-05-21T08:31:32Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,219997050,@seed-design/codemod@0.0.24,@seed-design/codemod@0.0.24,"### Patch Changes

-   03aaeb1: replace-stitches-styled-color 로직 강화
    -   !important 처리 강화
    -   color가 들어갈 수 있는 다양한 복합 포맷 대응
    -   삼항연산자 변환 대응
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/codemod%400.0.24,false,false,2025-05-21T08:31:31Z,2025-05-21T08:31:38Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,219395237,@seed-design/webpack-plugin@0.0.25,@seed-design/webpack-plugin@0.0.25,"### Patch Changes

-   Updated dependencies [c87ede9]
    -   @seed-design/css@0.0.25
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/webpack-plugin%400.0.25,false,false,2025-05-19T05:02:28Z,2025-05-19T05:02:38Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,219395245,@seed-design/vite-plugin@0.0.25,@seed-design/vite-plugin@0.0.25,"### Patch Changes

-   Updated dependencies [c87ede9]
    -   @seed-design/css@0.0.25
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/vite-plugin%400.0.25,false,false,2025-05-19T05:02:28Z,2025-05-19T05:02:44Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,219395223,@seed-design/stackflow@0.0.25,@seed-design/stackflow@0.0.25,"### Patch Changes

-   Updated dependencies [c87ede9]
    -   @seed-design/css@0.0.25
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/stackflow%400.0.25,false,false,2025-05-19T05:02:28Z,2025-05-19T05:02:29Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,219395255,@seed-design/rsbuild-plugin@0.0.25,@seed-design/rsbuild-plugin@0.0.25,"### Patch Changes

-   Updated dependencies [c87ede9]
    -   @seed-design/css@0.0.25
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/rsbuild-plugin%400.0.25,false,false,2025-05-19T05:02:28Z,2025-05-19T05:02:53Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,219395250,@seed-design/react@0.0.25,@seed-design/react@0.0.25,"### Patch Changes

-   c87ede9: Avatar Stack의 디자인을 업데이트합니다.
-   Updated dependencies [c87ede9]
    -   @seed-design/css@0.0.25
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/react%400.0.25,false,false,2025-05-19T05:02:28Z,2025-05-19T05:02:50Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,219395242,@seed-design/mcp@0.0.25,@seed-design/mcp@0.0.25,"### Patch Changes

-   c8a6d41: codegen 결과물이 import 문을 함께 반환하는 기능을 추가합니다.
-   Updated dependencies [c8a6d41]
    -   @seed-design/figma@0.0.25
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/mcp%400.0.25,false,false,2025-05-19T05:02:28Z,2025-05-19T05:02:41Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,219395232,@seed-design/figma@0.0.25,@seed-design/figma@0.0.25,"### Patch Changes

-   c8a6d41: codegen 결과물이 import 문을 함께 반환하는 기능을 추가합니다.
-   Updated dependencies [c87ede9]
    -   @seed-design/css@0.0.25
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/figma%400.0.25,false,false,2025-05-19T05:02:28Z,2025-05-19T05:02:35Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,219395231,@seed-design/css@0.0.25,@seed-design/css@0.0.25,"### Patch Changes

-   c87ede9: Avatar Stack의 디자인을 업데이트합니다.
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/css%400.0.25,false,false,2025-05-19T05:02:28Z,2025-05-19T05:02:32Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,219395247,@seed-design/codemod@0.0.23,@seed-design/codemod@0.0.23,"### Patch Changes

-   1284609: feat: replace-custom-seed-design-color 직접 seed-design/css 패키지 import 하도록 변경
-   6895bd0: feat(codemod): add more cases in stitches transform
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/codemod%400.0.23,false,false,2025-05-19T05:02:28Z,2025-05-19T05:02:47Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
